start,end
1044,1152
2844,2976
3180,3828
8472,8880
9144,9564
9696,9996
14592,14820
16008,16044
16812,17040
17796,17964
18216,18864
20520,20760
20988,21120
22788,23544
23952,24108
24936,25188
25368,25536
29784,30456
30696,31128
31464,31584
32868,33000
33180,33600
35088,35676
36924,37030
37176,37824
